           1      0.24211 
           2      0.43636 
           3      0.47053 
           4      0.56589 
           5      0.56123 
           6      0.64072 
           7      0.72696 
           8      0.64210 
           9      0.75340 
          10      0.72183 
          11      0.47132 
          12      0.37290 
          13      0.46264 
          14      0.52398 
          15      0.62649 
          16      0.68319 
          17      0.63971 
          18      0.62502 
          19      0.39404 
          20      0.58467 
          21      0.50542 
          22      0.39660 
          23      0.38426 
          24      0.39393 
          25      0.43101 
          26      0.47731 
          27      0.48798 
          28      0.60148 
          29      0.42990 
          30      0.67607 
          31      0.60420 
          32      0.53798 
          33      0.62656 
          34      0.51405 
          35      0.59822 
          36      0.66822 
          37      0.47856 
          38      0.50603 
          39      0.51472 
          40      0.49707 
          41      0.60302 
          42      0.56247 
          43      0.67431 
          44      0.49837 
          45      0.65169 
          46      0.51618 
          47      0.60449 
          48      0.50997 
          49      0.51205 
          50      0.54220 
          51      0.52733 
          52      0.47054 
          53      0.43844 
          54      0.37923 
          55      0.32596 
          56      0.65252 
          57      0.52283 
          58      0.53650 
          59      0.44781 
          60      0.63515 
          61      0.62094 
          62      0.71498 
          63      0.74878 
          64      0.66355 
          65      0.62339 
          66      0.70801 
          67      0.64607 
          68      0.68571 
          69      0.53747 
          70      0.70326 
          71      0.59428 
          72      0.62943 
          73      0.71329 
          74      0.65695 
          75      0.84351 
          76      0.81930 
          77      0.83297 
